PeriodDate,EntityID,AccountCode,BudgetAmount
2024-07-01,ENT001,610,175000.00
2024-07-01,ENT001,800,78000.00
2024-07-01,ENT001,805,9360.00
2024-07-01,ENT002,600,300000.00
2024-07-01,ENT002,700,170000.00
2024-07-01,ENT002,800,48000.00
2024-07-01,ENT003,600,210000.00
2024-07-01,ENT003,710,58000.00
2024-07-01,ENT003,800,62000.00
2024-07-01,ENT004,620,25000.00
2024-07-01,ENT004,895,5000.00
2024-08-01,ENT001,610,175000.00
2024-08-01,ENT001,800,78000.00
2024-08-01,ENT001,805,9360.00
2024-08-01,ENT002,600,300000.00
2024-08-01,ENT002,700,170000.00
2024-08-01,ENT002,800,48000.00
2024-08-01,ENT003,600,210000.00
2024-08-01,ENT003,710,58000.00
2024-08-01,ENT003,800,62000.00
2024-08-01,ENT004,620,25000.00
2024-08-01,ENT004,895,5000.00
2024-09-01,ENT001,610,175000.00
2024-09-01,ENT001,800,78000.00
2024-09-01,ENT001,805,9360.00
2024-09-01,ENT002,600,300000.00
2024-09-01,ENT002,700,170000.00
2024-09-01,ENT002,800,48000.00
2024-09-01,ENT003,600,210000.00
2024-09-01,ENT003,710,58000.00
2024-09-01,ENT003,800,62000.00
2024-09-01,ENT004,620,25000.00
2024-09-01,ENT004,895,5000.00
2024-10-01,ENT001,610,175000.00
2024-10-01,ENT001,800,78000.00
2024-10-01,ENT001,805,9360.00
2024-10-01,ENT002,600,300000.00
2024-10-01,ENT002,700,170000.00
2024-10-01,ENT002,800,48000.00
2024-10-01,ENT003,600,210000.00
2024-10-01,ENT003,710,58000.00
2024-10-01,ENT003,800,62000.00
2024-10-01,ENT004,620,25000.00
2024-10-01,ENT004,895,5000.00
2024-11-01,ENT001,610,175000.00
2024-11-01,ENT001,800,78000.00
2024-11-01,ENT001,805,9360.00
2024-11-01,ENT002,600,300000.00
2024-11-01,ENT002,700,170000.00
2024-11-01,ENT002,800,48000.00
2024-11-01,ENT003,600,210000.00
2024-11-01,ENT003,710,58000.00
2024-11-01,ENT003,800,62000.00
2024-11-01,ENT004,620,25000.00
2024-11-01,ENT004,895,5000.00
2024-12-01,ENT001,610,175000.00
2024-12-01,ENT001,800,78000.00
2024-12-01,ENT001,805,9360.00
2024-12-01,ENT002,600,300000.00
2024-12-01,ENT002,700,170000.00
2024-12-01,ENT002,800,48000.00
2024-12-01,ENT003,600,210000.00
2024-12-01,ENT003,710,58000.00
2024-12-01,ENT003,800,62000.00
2024-12-01,ENT004,620,25000.00
2024-12-01,ENT004,895,5000.00
2025-01-01,ENT001,610,175000.00
2025-01-01,ENT001,800,78000.00
2025-01-01,ENT001,805,9360.00
2025-01-01,ENT002,600,300000.00
2025-01-01,ENT002,700,170000.00
2025-01-01,ENT002,800,48000.00
2025-01-01,ENT003,600,210000.00
2025-01-01,ENT003,710,58000.00
2025-01-01,ENT003,800,62000.00
2025-01-01,ENT004,620,25000.00
2025-01-01,ENT004,895,5000.00
2025-02-01,ENT001,610,175000.00
2025-02-01,ENT001,800,78000.00
2025-02-01,ENT001,805,9360.00
2025-02-01,ENT002,600,300000.00
2025-02-01,ENT002,700,170000.00
2025-02-01,ENT002,800,48000.00
2025-02-01,ENT003,600,210000.00
2025-02-01,ENT003,710,58000.00
2025-02-01,ENT003,800,62000.00
2025-02-01,ENT004,620,25000.00
2025-02-01,ENT004,895,5000.00
2025-03-01,ENT001,610,175000.00
2025-03-01,ENT001,800,78000.00
2025-03-01,ENT001,805,9360.00
2025-03-01,ENT002,600,300000.00
2025-03-01,ENT002,700,170000.00
2025-03-01,ENT002,800,48000.00
2025-03-01,ENT003,600,210000.00
2025-03-01,ENT003,710,58000.00
2025-03-01,ENT003,800,62000.00
2025-03-01,ENT004,620,25000.00
2025-03-01,ENT004,895,5000.00
2025-04-01,ENT001,610,175000.00
