JournalID,LineNumber,PostingDate,EntityID,AccountCode,Debit,Credit,Amount,Description,IntercompanyEntityID,IsIntercompany
JNL1001,1,2024-07-01,ENT001,100,350000.00,0.00,350000.00,Opening Balance FY25,,FALSE
JNL1001,2,2024-07-01,ENT001,110,120000.00,0.00,120000.00,Opening Balance FY25,,FALSE
JNL1001,3,2024-07-01,ENT001,200,80000.00,0.00,80000.00,Opening Balance FY25,,FALSE
JNL1001,4,2024-07-01,ENT001,300,0.00,90000.00,-90000.00,Opening Balance FY25,,FALSE
JNL1001,5,2024-07-01,ENT001,500,0.00,100000.00,-100000.00,Opening Balance FY25,,FALSE
JNL1001,6,2024-07-01,ENT001,510,0.00,360000.00,-360000.00,Opening Balance FY25,,FALSE
JNL1002,1,2024-07-01,ENT002,100,180000.00,0.00,180000.00,Opening Balance FY25,,FALSE
JNL1002,2,2024-07-01,ENT002,110,95000.00,0.00,95000.00,Opening Balance FY25,,FALSE
JNL1002,3,2024-07-01,ENT002,120,150000.00,0.00,150000.00,Opening Balance FY25,,FALSE
JNL1002,4,2024-07-01,ENT002,200,65000.00,0.00,65000.00,Opening Balance FY25,,FALSE
JNL1002,5,2024-07-01,ENT002,300,0.00,110000.00,-110000.00,Opening Balance FY25,,FALSE
JNL1002,6,2024-07-01,ENT002,500,0.00,50000.00,-50000.00,Opening Balance FY25,,FALSE
JNL1002,7,2024-07-01,ENT002,510,0.00,330000.00,-330000.00,Opening Balance FY25,,FALSE
JNL1003,1,2024-07-01,ENT003,100,95000.00,0.00,95000.00,Opening Balance FY25,,FALSE
JNL1003,2,2024-07-01,ENT003,110,140000.00,0.00,140000.00,Opening Balance FY25,,FALSE
JNL1003,3,2024-07-01,ENT003,200,450000.00,0.00,450000.00,Opening Balance FY25,,FALSE
JNL1003,4,2024-07-01,ENT003,210,0.00,90000.00,-90000.00,Opening Balance FY25,,FALSE
JNL1003,5,2024-07-01,ENT003,300,0.00,75000.00,-75000.00,Opening Balance FY25,,FALSE
JNL1003,6,2024-07-01,ENT003,400,0.00,250000.00,-250000.00,Opening Balance FY25,,FALSE
JNL1003,7,2024-07-01,ENT003,500,0.00,50000.00,-50000.00,Opening Balance FY25,,FALSE
JNL1003,8,2024-07-01,ENT003,510,0.00,220000.00,-220000.00,Opening Balance FY25,,FALSE
JNL1004,1,2024-07-01,ENT004,100,60000.00,0.00,60000.00,Opening Balance FY25,,FALSE
JNL1004,2,2024-07-01,ENT004,250,1800000.00,0.00,1800000.00,Opening Balance FY25,,FALSE
JNL1004,3,2024-07-01,ENT004,400,0.00,900000.00,-900000.00,Opening Balance FY25,,FALSE
JNL1004,4,2024-07-01,ENT004,500,0.00,100.00,-100.00,Opening Balance FY25,,FALSE
JNL1004,5,2024-07-01,ENT004,510,0.00,959900.00,-959900.00,Opening Balance FY25,,FALSE
JNL1005,1,2024-07-15,ENT001,110,160000.00,0.00,160000.00,Advisory Billings - M1,,FALSE
JNL1005,2,2024-07-15,ENT001,610,0.00,160000.00,-160000.00,Advisory Billings - M1,,FALSE
JNL1006,1,2024-07-28,ENT001,800,75000.00,0.00,75000.00,Monthly Payroll - M1,,FALSE
JNL1006,2,2024-07-28,ENT001,805,9000.00,0.00,9000.00,Monthly Payroll - M1,,FALSE
